time,V(N001),V(N002),I(V1),I(R1),I(D1)
2.3e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
2.31e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
2.32e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
2.33e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
2.34e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
2.35e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
2.36e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
2.37e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
2.38e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
2.39e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
2.4e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
2.41e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
2.42e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
2.43e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
2.44e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
2.45e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
2.46e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
2.47e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
2.48e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
2.49e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
2.5e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
2.51e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
2.52e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
2.53e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
2.54e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
2.55e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
2.56e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
2.57e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
2.58e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
2.59e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
2.6e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
2.61e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
2.62e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
2.63e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
2.64e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
2.65e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
2.66e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
2.67e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
