time,V(N001),I(V1),I(R1),I(D1)
1.95e-05,2.12222,-7.35639e+21,-0.000212222,7.35639e+21
1.96e-05,2.12284,-7.54219e+21,-0.000212284,7.54219e+21
1.97e-05,2.12346,-7.73266e+21,-0.000212346,7.73266e+21
1.98e-05,2.12409,-7.92794e+21,-0.000212409,7.92794e+21
1.99e-05,2.12471,-8.12813e+21,-0.000212471,8.12813e+21
2e-05,2.12533,-8.33335e+21,-0.000212533,8.33335e+21
2.01e-05,2.12596,-8.54375e+21,-0.000212596,8.54375e+21
2.02e-05,2.12658,-8.75943e+21,-0.000212658,8.75943e+21
2.03e-05,2.1272,-8.98055e+21,-0.00021272,8.98055e+21
2.04e-05,2.12783,-9.20722e+21,-0.000212783,9.20722e+21
2.05e-05,2.12845,-9.4396e+21,-0.000212845,9.4396e+21
2.06e-05,2.12907,-9.67783e+21,-0.000212907,9.67783e+21
2.07e-05,2.1297,-9.92204e+21,-0.00021297,9.92204e+21
2.08e-05,2.13032,-1.01724e+22,-0.000213032,1.01724e+22
2.09e-05,2.13094,-1.04291e+22,-0.000213094,1.04291e+22
2.1e-05,2.13156,-1.06922e+22,-0.000213156,1.06922e+22
2.11e-05,2.13219,-1.09619e+22,-0.000213219,1.09619e+22
2.12e-05,2.13281,-1.12384e+22,-0.000213281,1.12384e+22
2.13e-05,2.13343,-1.15218e+22,-0.000213343,1.15218e+22
2.14e-05,2.13406,-1.18124e+22,-0.000213406,1.18124e+22
2.15e-05,2.13468,-1.21103e+22,-0.000213468,1.21103e+22
2.16e-05,2.1353,-1.24157e+22,-0.00021353,1.24157e+22
2.17e-05,2.13592,-1.27287e+22,-0.000213592,1.27287e+22
2.18e-05,2.13655,-1.30496e+22,-0.000213655,1.30496e+22
2.19e-05,2.13717,-1.33786e+22,-0.000213717,1.33786e+22
2.2e-05,2.13779,-1.37158e+22,-0.000213779,1.37158e+22
2.21e-05,2.13841,-1.40615e+22,-0.000213841,1.40615e+22
2.22e-05,2.13903,-1.44159e+22,-0.000213903,1.44159e+22
2.23e-05,2.13966,-1.47792e+22,-0.000213966,1.47792e+22
2.24e-05,2.14028,-1.51515e+22,-0.000214028,1.51515e+22
2.25e-05,2.1409,-1.55333e+22,-0.00021409,1.55333e+22
2.26e-05,2.14152,-1.59246e+22,-0.000214152,1.59246e+22
2.27e-05,2.14215,-1.63258e+22,-0.000214215,1.63258e+22
2.28e-05,2.14277,-1.6737e+22,-0.000214277,1.6737e+22
2.29e-05,2.14339,-1.71585e+22,-0.000214339,1.71585e+22
2.3e-05,2.14401,-1.75907e+22,-0.000214401,1.75907e+22
2.31e-05,2.14463,-1.80336e+22,-0.000214463,1.80336e+22
2.32e-05,2.14525,-1.84877e+22,-0.000214525,1.84877e+22
2.33e-05,2.14588,-1.89531e+22,-0.000214588,1.89531e+22
2.34e-05,2.1465,-1.94303e+22,-0.00021465,1.94303e+22
2.35e-05,2.14712,-1.99194e+22,-0.000214712,1.99194e+22
2.36e-05,2.14774,-2.04207e+22,-0.000214774,2.04207e+22
2.37e-05,2.14836,-2.09347e+22,-0.000214836,2.09347e+22
2.38e-05,2.14898,-2.14615e+22,-0.000214898,2.14615e+22
2.39e-05,2.1496,-2.20015e+22,-0.00021496,2.20015e+22
2.4e-05,2.15023,-2.25551e+22,-0.000215023,2.25551e+22
2.41e-05,2.15085,-2.31225e+22,-0.000215085,2.31225e+22
2.42e-05,2.15147,-2.37042e+22,-0.000215147,2.37042e+22
2.43e-05,2.15209,-2.43004e+22,-0.000215209,2.43004e+22
2.44e-05,2.15271,-2.49115e+22,-0.000215271,2.49115e+22
2.45e-05,2.15333,-2.5538e+22,-0.000215333,2.5538e+22
2.46e-05,2.15395,-2.61802e+22,-0.000215395,2.61802e+22
2.47e-05,2.15457,-2.68384e+22,-0.000215457,2.68384e+22
2.48e-05,2.15519,-2.75131e+22,-0.000215519,2.75131e+22
2.49e-05,2.15581,-2.82048e+22,-0.000215581,2.82048e+22
2.5e-05,2.15643,-2.89137e+22,-0.000215643,2.89137e+22
2.51e-05,2.15706,-2.96404e+22,-0.000215706,2.96404e+22
2.52e-05,2.15768,-3.03852e+22,-0.000215768,3.03852e+22
2.53e-05,2.1583,-3.11487e+22,-0.00021583,3.11487e+22
2.54e-05,2.15892,-3.19314e+22,-0.000215892,3.19314e+22
2.55e-05,2.15954,-3.27336e+22,-0.000215954,3.27336e+22
2.56e-05,2.16016,-3.35558e+22,-0.000216016,3.35558e+22
2.57e-05,2.16078,-3.43987e+22,-0.000216078,3.43987e+22
2.58e-05,2.1614,-3.52626e+22,-0.00021614,3.52626e+22
2.59e-05,2.16202,-3.61481e+22,-0.000216202,3.61481e+22
2.6e-05,2.16264,-3.70557e+22,-0.000216264,3.70557e+22
