time,V(N001),V(N002),V(N003),I(V1),I(V2),I(R1),I(R2),I(R3)
0.000121,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.000122,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.000123,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.000124,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.000125,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.000126,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.000127,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.000128,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.000129,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.00013,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.000131,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.000132,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.000133,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.000134,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.000135,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.000136,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.000137,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.000138,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.000139,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.00014,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.000141,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.000142,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.000143,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.000144,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.000145,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.000146,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.000147,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.000148,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.000149,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.00015,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.000151,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.000152,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.000153,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.000154,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.000155,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.000156,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.000157,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.000158,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.000159,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.00016,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.000161,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.000162,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.000163,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.000164,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.000165,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.000166,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.000167,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.000168,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.000169,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.00017,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.000171,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.000172,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.000173,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.000174,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.000175,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.000176,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.000177,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.000178,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.000179,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.00018,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.000181,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.000182,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.000183,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.000184,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.000185,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.000186,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.000187,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.000188,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.000189,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.00019,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.000191,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.000192,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.000193,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.000194,2,-1,0,-0.0003,0,-0.0003,0,0.0001
