time,V(N001),V(N002),V(N003),I(V1),I(R1),I(I1),I(R2),I(R3)
0.000173,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
0.000174,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
0.000175,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
0.000176,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
0.000177,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
0.000178,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
0.000179,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
0.00018,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
0.000181,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
0.000182,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
0.000183,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
0.000184,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
0.000185,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
0.000186,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
0.000187,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
0.000188,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
0.000189,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
0.00019,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
0.000191,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
0.000192,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
0.000193,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
0.000194,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
0.000195,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
0.000196,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
0.000197,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
0.000198,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
0.000199,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
0.0002,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
0.000201,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
0.000202,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
0.000203,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
0.000204,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
0.000205,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
0.000206,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
0.000207,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
0.000208,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
0.000209,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
0.00021,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
0.000211,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
0.000212,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
0.000213,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
0.000214,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
0.000215,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
0.000216,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
0.000217,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
0.000218,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
0.000219,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
0.00022,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
0.000221,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
0.000222,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
0.000223,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
0.000224,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
0.000225,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
0.000226,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
0.000227,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
0.000228,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
0.000229,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
0.00023,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
0.000231,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
0.000232,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
0.000233,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
0.000234,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
0.000235,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
0.000236,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
0.000237,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
0.000238,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
0.000239,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
0.00024,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
0.000241,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
0.000242,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
0.000243,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
0.000244,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
0.000245,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
0.000246,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
0.000247,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
0.000248,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
0.000249,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
0.00025,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
0.000251,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
0.000252,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
